type,time
video,8340938.145934
PuffOn,8411009.365721
PuffOff,8411509.47304
PuffOn,8421895.007414
PuffOff,8422395.584399
PuffOn,8432573.38924
PuffOff,8433073.961617
PuffOn,8443220.217247
PuffOff,8443720.365041
PuffOn,8453788.319294
PuffOff,8454288.921104
PuffOn,8464301.981555
PuffOff,8464802.613052
PuffOn,8474812.394279
PuffOff,8475312.641006
PuffOn,8485519.956712
PuffOff,8486020.535732
PuffOn,8496108.384264
PuffOff,8496608.978175
PuffOn,8506621.217304
PuffOff,8507121.799123
PuffOn,8517133.920508
PuffOff,8517634.539716
PuffOn,8527721.12928
PuffOff,8528221.729934
PuffOn,8538417.119452
PuffOff,8538917.696402
PuffOn,8548988.514675
PuffOff,8549489.172642
PuffOn,8559530.303973
PuffOff,8560032.140053
PuffOn,8570044.161442
PuffOff,8570544.743833
PuffOn,8580560.190055
PuffOff,8581060.766037
PuffOn,8591072.153014
PuffOff,8591572.259889
PuffOn,8601584.388664
PuffOff,8602085.206842
PuffOn,8612116.264786
PuffOff,8612616.917723
PuffOn,8622688.213595
PuffOff,8623188.812623
PuffOn,8633200.208662
PuffOff,8633700.777278
PuffOn,8643717.757139
PuffOff,8644217.88648
PuffOn,8654228.252608
PuffOff,8654728.854605
PuffOn,8664742.676847
PuffOff,8665243.255359
PuffOn,8675252.213574
PuffOff,8675752.770508
PuffOn,8685789.885496
PuffOff,8686290.455148
PuffOn,8696368.2171
PuffOff,8696868.865356
PuffOn,8706884.211397
PuffOff,8707384.331803
PuffOn,8717404.085475
PuffOff,8717904.655518
PuffOn,8727942.429756
PuffOff,8728443.064033
PuffOn,8738456.214459
PuffOff,8738956.326217
PuffOn,8749008.19785
PuffOff,8749508.340731
PuffOn,8759528.800606
PuffOff,8760029.395438
PuffOn,8770060.160124
PuffOff,8770560.727727
PuffOn,8780613.763626
PuffOff,8781114.381759
PuffOn,8791176.408885
PuffOff,8791677.052046
PuffOn,8801772.265263
PuffOff,8802272.909214
PuffOn,8812336.158469
PuffOff,8812836.726227
PuffOn,8822884.145891
PuffOff,8823384.271129
PuffOn,8833476.7118
PuffOff,8833976.857122
PuffOn,8844050.808059
PuffOff,8844551.375219
PuffOn,8854566.938016
PuffOff,8855067.740053
PuffOn,8865083.374192
PuffOff,8865583.975612
PuffOn,8875640.229187
PuffOff,8876140.872005
PuffOn,8886160.156571
PuffOff,8886660.741842
PuffOn,8896704.148428
PuffOff,8897204.226696
PuffOn,8907248.149289
PuffOff,8907748.710449
