time,position,direction
11564709.182217,0,
11587728.291253,-1,L
11604694.708058,-2,L
11620075.294592,-1,R
11620128.432348,-2,L
11624525.535724,-3,L
11628204.131473,-4,L
11631904.36594,-5,L
11635013.736263,-4,R
11635023.629297,-3,R
11635033.701662,-2,R
11635045.425508,-1,R
11635064.07344,0,R
11635099.265607,-1,L
11635112.193199,-2,L
11635124.691999,-3,L
11635139.057795,-4,L
11635160.094515,-5,L
11635232.934562,-6,L
11635293.866098,-7,L
11635334.427222,-8,L
11635430.523814,-9,L
11638758.223229,-10,L
11645531.581449,-9,R
11645588.939804,-10,L
11645614.329622,-11,L
11656032.846388,-10,R
11656053.44852,-9,R
11656096.678799,-10,L
11656301.008271,-11,L
11658490.211255,-12,L
11658508.865058,-13,L
11658520.439406,-14,L
11658529.222916,-15,L
11658536.65633,-16,L
11658543.0997,-17,L
11658548.889614,-18,L
11658554.155091,-19,L
11658559.111533,-20,L
11658563.8937,-21,L
11658568.60035,-22,L
11658573.170056,-23,L
11658577.63769,-24,L
11658582.057065,-25,L
11658586.449532,-26,L
11658590.847,-27,L
11658595.231338,-28,L
11658599.581436,-29,L
11658603.865961,-30,L
11658608.102523,-31,L
11658612.290086,-32,L
11658616.401742,-33,L
11658620.423695,-34,L
11658624.377761,-35,L
11658628.279827,-36,L
11658632.164912,-37,L
11658636.066311,-38,L
11658639.952562,-39,L
11658643.856925,-40,L
11658647.784361,-41,L
11658651.764778,-42,L
11658655.81712,-43,L
11658659.980479,-44,L
11658664.2653,-45,L
11658668.712304,-46,L
11658673.361991,-47,L
11658678.180639,-48,L
11658683.125415,-49,L
11658688.180264,-50,L
11658693.400574,-51,L
11658698.802234,-52,L
11658704.409836,-53,L
11658710.122696,-54,L
11658715.767853,-55,L
11658721.183124,-56,L
11658726.35099,-57,L
11658731.293655,-58,L
11658736.059582,-59,L
11658740.5899,-60,L
11658744.979701,-61,L
11658749.219115,-62,L
11658753.333345,-63,L
11658757.331095,-64,L
11658761.230772,-65,L
11658765.025284,-66,L
11658768.763148,-67,L
11658772.425439,-68,L
11658776.062379,-69,L
11658779.677763,-70,L
11658783.28761,-71,L
11658786.875383,-72,L
11658790.446675,-73,L
11658794.000949,-74,L
11658797.553445,-75,L
11658801.109034,-76,L
11658804.631141,-77,L
11658808.156508,-78,L
11658811.678597,-79,L
11658815.178205,-80,L
11658818.650016,-81,L
11658822.091569,-82,L
11658825.499974,-83,L
11658828.878583,-84,L
11658832.236359,-85,L
11658835.527321,-86,L
11658838.767969,-87,L
11658841.946358,-88,L
11658845.058007,-89,L
11658848.105972,-90,L
11658851.09166,-91,L
11658854.007608,-92,L
11658856.861279,-93,L
11658859.659857,-94,L
11658862.408937,-95,L
11658865.110313,-96,L
11658867.776745,-97,L
11658870.410529,-98,L
11658873.021221,-99,L
11658875.621803,-100,L
11658878.213828,-101,L
11658880.803576,-102,L
11658883.402287,-103,L
11658886.015905,-104,L
11658888.610097,-105,L
11658891.210067,-106,L
11658893.851666,-107,L
11658896.527431,-108,L
11658899.230956,-109,L
11658902.001368,-110,L
11658904.808725,-111,L
11658907.689506,-112,L
11658910.668805,-113,L
11658913.660345,-114,L
11658916.689921,-115,L
11658919.826736,-116,L
11658923.001348,-117,L
11658926.27694,-118,L
11658929.612882,-119,L
11658933.042306,-120,L
11658936.562969,-121,L
11658940.131594,-122,L
11658943.738719,-123,L
11658947.442047,-124,L
11658951.234059,-125,L
11658955.028181,-126,L
11658958.914118,-127,L
11658962.867091,-128,L
11658966.870045,-129,L
11658971.016682,-130,L
11658975.2618,-131,L
11658979.626712,-132,L
11658984.149326,-133,L
11658988.879013,-134,L
11658993.607088,-135,L
11658998.519401,-136,L
11659003.659249,-137,L
11659008.927577,-138,L
11659014.359218,-139,L
11659019.87571,-140,L
11659025.73092,-141,L
11659032.090828,-142,L
11659038.879398,-143,L
11659046.056,-144,L
11659053.554358,-145,L
11659061.180548,-146,L
11659068.880607,-147,L
11659076.536444,-148,L
11659083.974562,-149,L
11659091.084017,-150,L
11659097.759032,-151,L
11659104.025516,-152,L
11659109.840078,-153,L
11659115.081203,-154,L
11659119.923091,-155,L
11659124.370169,-156,L
11659128.562954,-157,L
11659132.497483,-158,L
11659136.198699,-159,L
11659139.712048,-160,L
11659143.085527,-161,L
11659146.417544,-162,L
11659149.765598,-163,L
11659153.176022,-164,L
11659156.671111,-165,L
11659160.256107,-166,L
11659163.925046,-167,L
11659167.684169,-168,L
11659171.496495,-169,L
11659175.346062,-170,L
11659179.250406,-171,L
11659183.146231,-172,L
11659187.03626,-173,L
11659190.893568,-174,L
11659194.989057,-175,L
11659198.509887,-176,L
11659202.263566,-177,L
11659205.99306,-178,L
11659209.732405,-179,L
11659213.465418,-180,L
11659217.189356,-181,L
11659220.915517,-182,L
11659224.636955,-183,L
11659228.439819,-184,L
11659232.086721,-185,L
11659235.800826,-186,L
11659239.514487,-187,L
11659243.200704,-188,L
11659246.84594,-189,L
11659250.465416,-190,L
11659254.077893,-191,L
11659257.700851,-192,L
11659261.506752,-193,L
11659265.054303,-194,L
11659268.860704,-195,L
11659272.788918,-196,L
11659276.877185,-197,L
11659281.203617,-198,L
11659285.848433,-199,L
11659291.023781,-200,L
11659297.270857,-201,L
11659305.488244,-202,L
11659318.44802,-203,L
11659400.322352,-204,L
11659442.897786,-205,L
11659486.621058,-206,L
11659520.861329,-207,L
11659537.893596,-208,L
11659550.983426,-209,L
11659561.756635,-210,L
11659571.368227,-211,L
11659580.151941,-212,L
11659588.613621,-213,L
11659596.851303,-214,L
11659605.098282,-215,L
11659613.427816,-216,L
11659621.730275,-217,L
11659630.040679,-218,L
11659638.058031,-219,L
11659645.773757,-220,L
11659653.134912,-221,L
11659659.98913,-222,L
11659666.540795,-223,L
11659672.398634,-224,L
11659677.913126,-225,L
11659683.081807,-226,L
11659687.9069,-227,L
11659692.431255,-228,L
11659696.700113,-229,L
11659700.779436,-230,L
11659704.846871,-231,L
11659709.017711,-232,L
11659713.359791,-233,L
11659717.862054,-234,L
11659722.466797,-235,L
11659727.117835,-236,L
11659731.821281,-237,L
11659736.525893,-238,L
11659741.242339,-239,L
11659746.023395,-240,L
11659750.923468,-241,L
11659755.983354,-242,L
11659761.194405,-243,L
11659766.439196,-244,L
11659771.608062,-245,L
11659776.65056,-246,L
11659781.568058,-247,L
11659786.345985,-248,L
11659790.993264,-249,L
11659795.670414,-250,L
11659799.923902,-251,L
11659804.202982,-252,L
11659808.35586,-253,L
11659812.436239,-254,L
11659816.442359,-255,L
11659820.404795,-256,L
11659824.301916,-257,L
11659828.204001,-258,L
11659832.067642,-259,L
11659835.971985,-260,L
11659839.943791,-261,L
11659843.981837,-262,L
11659848.147326,-263,L
11659852.408481,-264,L
11659856.850318,-265,L
11659861.523635,-266,L
11659866.44367,-267,L
11659871.687573,-268,L
11659877.306378,-269,L
11659883.406826,-270,L
11659890.34382,-271,L
11659898.523059,-272,L
11659909.168029,-273,L
11659928.542101,-274,L
11659958.760511,-275,L
11659978.998685,-276,L
11659991.995942,-277,L
11660001.747866,-278,L
11660009.953642,-279,L
11660017.247798,-280,L
11660024.118015,-281,L
11660030.398943,-282,L
11660036.481354,-283,L
11660042.484007,-284,L
11660048.285458,-285,L
11660053.936819,-286,L
11660059.526588,-287,L
11660065.122894,-288,L
11660070.696644,-289,L
11660076.242728,-290,L
11660081.683758,-291,L
11660087.037937,-292,L
11660092.367097,-293,L
11660097.712332,-294,L
11660103.117306,-295,L
11660108.652854,-296,L
11660114.559656,-297,L
11660120.527383,-298,L
11660126.898809,-299,L
11660134.317242,-300,L
11660145.638186,-301,L
11660179.216168,-302,L
11660206.32254,-303,L
11660219.260446,-304,L
11660228.652486,-305,L
11660236.906298,-306,L
11660245.177813,-307,L
11660252.421452,-308,L
11660258.823674,-309,L
11660264.83442,-310,L
11660270.628427,-311,L
11660276.38212,-312,L
11660282.275589,-313,L
11660288.535331,-314,L
11660295.349882,-315,L
11660302.581984,-316,L
11660310.160766,-317,L
11660317.897899,-318,L
11660325.497737,-319,L
11660333.321388,-320,L
11660341.60844,-321,L
11660350.527781,-322,L
11660360.216003,-323,L
11660370.829528,-324,L
11660383.019165,-325,L
11660397.475887,-326,L
11660420.202254,-327,L
11660447.677289,-328,L
11660463.470366,-329,L
11660475.005547,-330,L
11660484.547104,-331,L
11660493.170245,-332,L
11660501.458964,-333,L
11660509.29354,-334,L
11660516.499586,-335,L
11660523.363192,-336,L
11660529.889858,-337,L
11660536.05436,-338,L
11660541.926478,-339,L
11660547.665763,-340,L
11660553.464548,-341,L
11660559.433535,-342,L
11660565.733906,-343,L
11660572.416922,-344,L
11660579.577839,-345,L
11660586.955272,-346,L
11660594.620925,-347,L
11660603.153863,-348,L
11660612.833566,-349,L
11660624.74541,-350,L
11660638.100774,-351,L
11660654.014646,-352,L
11660674.309504,-353,L
11660699.736692,-354,L
11660721.521033,-355,L
11660742.37594,-356,L
11660761.059724,-357,L
11660776.170549,-358,L
11660788.746312,-359,L
11660799.463762,-360,L
11660808.532731,-361,L
11660816.488898,-362,L
11660823.772962,-363,L
11660830.542032,-364,L
11660836.912514,-365,L
11660843.014851,-366,L
11660848.988245,-367,L
11660854.829418,-368,L
11660860.706221,-369,L
11660866.7023,-370,L
11660872.881914,-371,L
11660879.336135,-372,L
11660886.136872,-373,L
11660893.341585,-374,L
11660901.414899,-375,L
11660911.514578,-376,L
11660926.367888,-377,L
11660982.162114,-376,R
11661050.784303,-377,L
11661067.323834,-378,L
11661079.703302,-379,L
11661091.495592,-380,L
11661104.977399,-381,L
11661122.816952,-382,L
11661212.302455,-381,R
11661236.420751,-380,R
11661323.31958,-381,L
11661344.674519,-382,L
11661361.474714,-383,L
11661378.612923,-384,L
11661394.977512,-385,L
11661408.294395,-386,L
11661420.224202,-387,L
11661432.451079,-388,L
11661445.818554,-389,L
11661460.333516,-390,L
11661475.300362,-391,L
11661493.169526,-392,L
11661526.292087,-393,L
11661553.537162,-394,L
11661567.084616,-395,L
11661576.746579,-396,L
11661584.353861,-397,L
11661590.785935,-398,L
11661596.447888,-399,L
11661601.561088,-400,L
11661606.252682,-401,L
11661610.60665,-402,L
11661614.692066,-403,L
11661618.567947,-404,L
11661622.287534,-405,L
11661625.880844,-406,L
11661629.365267,-407,L
11661632.752395,-408,L
11661636.064393,-409,L
11661639.305467,-410,L
11661642.483912,-411,L
11661645.660394,-412,L
11661648.805654,-413,L
11661651.99195,-414,L
11661655.251394,-415,L
11661658.583133,-416,L
11661662.017445,-417,L
11661665.607404,-418,L
11661669.136122,-419,L
11661672.832117,-420,L
11661676.614518,-421,L
