type,time
video,3099545.239716
PuffOn,3169590.47915
PuffOff,3170091.093124
PuffOn,3180141.146379
PuffOff,3180641.7279
PuffOn,3190652.219291
PuffOff,3191152.789139
PuffOn,3201168.203853
PuffOff,3201668.792989
PuffOn,3211752.062042
PuffOff,3212252.16173
PuffOn,3222352.307351
PuffOff,3222853.059563
PuffOn,3232924.219749
PuffOff,3233424.810231
PuffOn,3243437.203504
PuffOff,3243937.835274
PuffOn,3253950.775758
PuffOff,3254451.349704
PuffOn,3264460.168914
PuffOff,3264960.248874
PuffOn,3274972.364652
PuffOff,3275473.10869
PuffOn,3285485.383206
PuffOff,3285985.959366
PuffOn,3295999.728051
PuffOff,3296500.338107
PuffOn,3306508.159907
PuffOff,3307008.745214
PuffOn,3317025.872814
PuffOff,3317526.45724
PuffOn,3327536.301699
PuffOff,3328036.90456
PuffOn,3338051.410832
PuffOff,3338552.037812
PuffOn,3348568.1864
PuffOff,3349068.76624
PuffOn,3359086.305143
PuffOff,3359586.911565
PuffOn,3369602.968896
PuffOff,3370103.546104
PuffOn,3380117.937213
PuffOff,3380618.579928
PuffOn,3390633.958512
PuffOff,3391134.54055
PuffOn,3401151.894969
PuffOff,3401652.496383
PuffOn,3411666.08333
PuffOff,3412166.643289
PuffOn,3422221.299892
PuffOff,3422721.872488
PuffOn,3432735.381122
PuffOff,3433235.501043
PuffOn,3443248.675723
PuffOff,3443749.238406
PuffOn,3454312.059473
PuffOff,3454812.721347
PuffOn,3464826.319885
PuffOff,3465326.883379
PuffOn,3475340.045566
PuffOff,3475840.619121
PuffOn,3485859.394647
PuffOff,3486360.159854
PuffOn,3496372.203556
PuffOff,3496872.772642
PuffOn,3506887.10963
PuffOff,3507387.732703
PuffOn,3517396.381947
PuffOff,3517896.999822
PuffOn,3527912.158832
PuffOff,3528412.315975
PuffOn,3538424.542399
PuffOff,3538924.695252
PuffOn,3548940.417721
PuffOff,3549442.574989
PuffOn,3559457.704756
PuffOff,3559958.27056
PuffOn,3569973.76806
PuffOff,3570476.103948
PuffOn,3580491.253516
PuffOff,3580991.832276
PuffOn,3591004.165839
PuffOff,3591504.751584
PuffOn,3601508.164836
PuffOff,3602008.738291
PuffOn,3612021.26703
PuffOff,3612521.841026
PuffOn,3622532.301859
PuffOff,3623032.464586
PuffOn,3633044.438889
PuffOff,3633545.060153
PuffOn,3643556.210202
PuffOff,3644056.785601
PuffOn,3654068.324718
PuffOff,3654568.44307
PuffOn,3664582.694346
PuffOff,3665083.277809
