time,position,direction
3619537.851024,0,
3619631.254437,-1,L
3619671.872269,-2,L
3619699.884263,-3,L
3619722.304562,-4,L
3619749.364956,-5,L
3619782.398782,-6,L
3619804.30642,-7,L
3619817.856173,-8,L
3619827.689356,-9,L
3619835.899929,-10,L
3619843.386288,-11,L
3619850.134933,-12,L
3619856.678802,-13,L
3619862.983138,-14,L
3619869.154567,-15,L
3619875.173054,-16,L
3619881.066968,-17,L
3619886.84155,-18,L
3619892.507911,-19,L
3619898.050959,-20,L
3619903.490322,-21,L
3619908.845928,-22,L
3619914.116127,-23,L
3619919.306438,-24,L
3619924.481082,-25,L
3619929.551339,-26,L
3619934.606337,-27,L
3619939.606317,-28,L
3619944.540482,-29,L
3619949.498703,-30,L
3619954.47411,-31,L
3619959.522367,-32,L
3619964.651141,-33,L
3619969.86897,-34,L
3619975.161762,-35,L
3619980.546515,-36,L
3619986.101896,-37,L
3619991.946533,-38,L
3619998.253016,-39,L
3620005.201566,-40,L
3620013.129309,-41,L
3620022.407962,-42,L
3620033.275541,-43,L
3620044.779021,-44,L
3620055.574379,-45,L
3620065.004141,-46,L
3620073.258343,-47,L
3620080.580167,-48,L
3620087.305293,-49,L
3620093.562611,-50,L
3620099.464321,-51,L
3620105.092757,-52,L
3620110.490973,-53,L
3620115.693117,-54,L
3620120.742911,-55,L
3620125.70615,-56,L
3620130.574743,-57,L
3620135.422039,-58,L
3620140.250058,-59,L
3620145.134576,-60,L
3620150.076872,-61,L
3620155.148906,-62,L
3620160.378717,-63,L
3620165.840136,-64,L
3620171.565441,-65,L
3620177.659204,-66,L
3620184.110056,-67,L
3620190.823054,-68,L
3620197.982583,-69,L
3620205.53207,-70,L
3620213.671181,-71,L
3620222.599264,-72,L
3620232.277635,-73,L
3620241.942284,-74,L
3620250.82233,-75,L
3620259.285622,-76,L
3620267.560064,-77,L
3620275.609417,-78,L
3620283.278162,-79,L
3620290.519209,-80,L
3620297.381483,-81,L
3620303.85389,-82,L
3620309.926302,-83,L
3620315.653588,-84,L
3620321.080082,-85,L
3620326.30967,-86,L
3620331.271558,-87,L
3620336.187761,-88,L
3620340.534859,-89,L
3620344.974642,-90,L
3620349.277463,-91,L
3620353.54134,-92,L
3620357.652756,-93,L
3620361.661469,-94,L
3620365.674646,-95,L
3620369.678618,-96,L
3620373.660388,-97,L
3620377.756933,-98,L
3620381.931034,-99,L
3620386.243021,-100,L
3620390.74784,-101,L
3620395.40362,-102,L
3620400.289694,-103,L
3620405.458913,-104,L
3620410.895462,-105,L
3620416.643711,-106,L
3620422.562791,-107,L
3620428.579944,-108,L
3620434.607672,-109,L
3620440.550215,-110,L
3620446.33426,-111,L
3620452.090083,-112,L
3620457.518391,-113,L
3620462.755072,-114,L
3620467.724385,-115,L
3620472.683384,-116,L
3620477.543884,-117,L
3620482.410606,-118,L
3620487.384716,-119,L
3620492.24192,-120,L
3620497.271325,-121,L
3620502.163806,-122,L
3620507.117731,-123,L
3620512.094359,-124,L
3620517.102654,-125,L
3620522.136541,-126,L
3620527.232445,-127,L
3620532.33272,-128,L
3620537.458477,-129,L
3620542.665769,-130,L
3620547.96906,-131,L
3620553.401924,-132,L
3620559.06284,-133,L
3620565.181122,-134,L
3620571.674363,-135,L
3620578.427137,-136,L
3620585.458001,-137,L
3620592.664734,-138,L
3620599.969632,-139,L
3620607.225197,-140,L
3620614.327782,-141,L
3620621.068187,-142,L
3620627.348874,-143,L
3620633.158104,-144,L
3620638.592301,-145,L
3620643.730631,-146,L
3620648.592557,-147,L
3620653.233133,-148,L
3620657.732563,-149,L
3620662.107884,-150,L
3620666.360094,-151,L
3620670.51551,-152,L
3620674.497279,-153,L
3620678.407975,-154,L
3620682.235228,-155,L
3620685.9775,-156,L
3620689.640217,-157,L
3620693.272009,-158,L
3620696.933763,-159,L
3620700.627147,-160,L
3620704.361808,-161,L
3620708.124283,-162,L
3620711.916332,-163,L
3620715.748807,-164,L
3620719.585893,-165,L
3620723.489478,-166,L
3620727.433877,-167,L
3620731.443757,-168,L
3620735.523322,-169,L
3620739.697589,-170,L
3620743.966706,-171,L
3620748.387693,-172,L
3620752.982011,-173,L
3620757.751641,-174,L
3620762.781454,-175,L
3620768.069783,-176,L
3620773.581145,-177,L
3620779.235488,-178,L
3620784.978719,-179,L
3620790.715246,-180,L
3620796.439717,-181,L
3620802.164892,-182,L
3620807.790698,-183,L
3620813.27708,-184,L
3620818.545538,-185,L
3620823.619999,-186,L
3620828.515684,-187,L
3620833.290407,-188,L
3620837.980057,-189,L
3620842.591874,-190,L
3620847.180359,-191,L
3620851.734807,-192,L
3620856.319865,-193,L
3620860.955701,-194,L
3620865.647092,-195,L
3620870.403408,-196,L
3620875.220705,-197,L
3620880.103464,-198,L
3620885.084018,-199,L
3620890.17396,-200,L
3620895.374326,-201,L
3620900.76482,-202,L
3620906.389978,-203,L
3620912.165782,-204,L
3620918.199232,-205,L
3620924.459178,-206,L
3620930.753569,-207,L
3620936.909592,-208,L
3620943.04354,-209,L
3620948.907714,-210,L
3620954.479335,-211,L
3620959.857459,-212,L
3620965.078751,-213,L
3620970.14673,-214,L
3620975.047766,-215,L
3620979.8951,-216,L
3620984.671897,-217,L
3620989.351658,-218,L
3620993.980142,-219,L
3620998.582719,-220,L
3621003.147797,-221,L
3621007.764133,-222,L
3621012.352765,-223,L
3621016.738678,-224,L
3621021.149961,-225,L
3621025.481763,-226,L
3621029.75627,-227,L
3621033.936055,-228,L
3621038.013398,-229,L
3621041.954464,-230,L
3621045.889308,-231,L
3621049.801559,-232,L
3621053.746329,-233,L
3621057.738691,-234,L
3621061.8082,-235,L
3621065.814302,-236,L
3621069.880792,-237,L
3621073.988727,-238,L
3621078.095587,-239,L
3621082.245762,-240,L
3621086.419511,-241,L
3621090.659055,-242,L
3621094.91645,-243,L
3621099.239179,-244,L
3621103.630869,-245,L
3621108.171502,-246,L
3621112.767672,-247,L
3621117.434896,-248,L
3621122.231323,-249,L
3621127.112267,-250,L
3621132.051303,-251,L
3621137.049505,-252,L
3621142.101744,-253,L
3621147.217815,-254,L
3621152.390719,-255,L
3621157.623344,-256,L
3621162.796303,-257,L
3621167.857782,-258,L
3621172.768263,-259,L
3621177.429951,-260,L
3621181.937695,-261,L
3621186.274368,-262,L
3621190.477505,-263,L
3621194.572606,-264,L
3621198.577931,-265,L
3621202.506571,-266,L
3621206.38573,-267,L
3621210.216576,-268,L
3621214.00881,-269,L
3621217.799396,-270,L
3621221.590427,-271,L
3621225.392772,-272,L
3621229.205636,-273,L
3621233.025574,-274,L
3621236.848623,-275,L
3621240.717264,-276,L
3621244.602552,-277,L
3621248.534563,-278,L
3621252.504814,-279,L
3621256.539694,-280,L
3621260.634295,-281,L
3621264.817414,-282,L
3621269.109383,-283,L
3621273.567943,-284,L
3621278.148002,-285,L
3621282.887985,-286,L
3621287.749966,-287,L
3621292.692299,-288,L
3621297.576169,-289,L
